sampler,integrator,spp,rmse,rel_mse
pcg,misnee,1,0.235700,0.716867
pcg,misnee,2,0.175823,0.473756
pcg,misnee,4,0.109159,0.216145
pcg,misnee,8,0.092211,0.117021
pcg,misnee,16,0.064466,0.057185
pcg,misnee,32,0.047578,0.031130
pcg,misnee,64,0.032001,0.016113
pcg,misnee,128,0.020012,0.007948
pcg,misnee,256,0.013418,0.003803
pcg,misnee,512,0.008925,0.001742
pcg,misnee,1024,0.006002,0.000761
pcg,bsdf,1,1.011491,26.147816
pcg,bsdf,2,0.701826,12.142366
pcg,bsdf,4,0.493990,5.983984
pcg,bsdf,8,0.350083,3.010295
pcg,bsdf,16,0.249622,1.538894
pcg,bsdf,32,0.176645,0.767109
pcg,bsdf,64,0.125032,0.385312
pcg,bsdf,128,0.087677,0.191222
pcg,bsdf,256,0.061403,0.096070
pcg,bsdf,512,0.043642,0.048264
pcg,bsdf,1024,0.031381,0.024685
halton,misnee,1,0.266462,1.302342
halton,misnee,2,0.200941,0.703293
halton,misnee,4,0.142382,0.333690
halton,misnee,8,0.101597,0.175190
halton,misnee,16,0.065303,0.072948
halton,misnee,32,0.049464,0.035946
halton,misnee,64,0.035527,0.018741
halton,misnee,128,0.019554,0.007815
halton,misnee,256,0.013435,0.003890
halton,misnee,512,0.009129,0.001993
halton,misnee,1024,0.006749,0.001062
halton,bsdf,1,0.942074,20.698396
halton,bsdf,2,0.648381,10.121524
halton,bsdf,4,0.477973,5.965901
halton,bsdf,8,0.339053,3.119926
halton,bsdf,16,0.229446,1.469717
halton,bsdf,32,0.160628,0.704923
halton,bsdf,64,0.097396,0.281170
halton,bsdf,128,0.065772,0.130158
halton,bsdf,256,0.043702,0.058950
halton,bsdf,512,0.028309,0.026058
halton,bsdf,1024,0.019679,0.012433
sobol,misnee,1,0.206932,1.088421
sobol,misnee,2,0.161190,0.551354
sobol,misnee,4,0.126833,0.308027
sobol,misnee,8,0.105277,0.183848
sobol,misnee,16,0.097375,0.140732
sobol,misnee,32,0.091234,0.114631
sobol,misnee,64,0.088223,0.101541
sobol,misnee,128,0.086429,0.096526
sobol,misnee,256,0.085680,0.092170
sobol,misnee,512,0.085395,0.090980
sobol,misnee,1024,0.085335,0.090605
sobol,bsdf,1,0.951780,23.959677
sobol,bsdf,2,0.693652,12.477823
sobol,bsdf,4,0.515579,6.424728
sobol,bsdf,8,0.424109,3.893882
sobol,bsdf,16,0.383840,2.951244
sobol,bsdf,32,0.362865,2.507439
sobol,bsdf,64,0.355719,2.347383
sobol,bsdf,128,0.352380,2.286817
sobol,bsdf,256,0.350360,2.252362
sobol,bsdf,512,0.350070,2.245659
sobol,bsdf,1024,0.349850,2.241524
